	(1)	(2)	(3)	(4)	(5)
	(0.0238)	(0.0350)	(0.0298)	(0.0125)	
1964.year	-0.262**	-0.237**	-0.116**	0.0148	
	(0.0239)	(0.0349)	(0.0305)	(0.0126)	
1966.year	-0.190**	-0.197**	-0.0665*	0.0553**	
	(0.0233)	(0.0347)	(0.0282)	(0.0123)	
1968.year	-0.183**	-0.193**	-0.0678*	0.0608**	
	(0.0233)	(0.0348)	(0.0281)	(0.0124)	
1970.year	-0.134**	-0.133**	-0.0539	0.0805**	
	(0.0231)	(0.0346)	(0.0278)	(0.0133)	
1972.year	-0.117**	-0.108**	-0.0668*	0.0962**	0.0141
	(0.0232)	(0.0348)	(0.0276)	(0.0134)	(0.0126)
1974.year	-0.202**	-0.183**	-0.0899**	0.0566**	-0.0820**
	(0.0235)	(0.0346)	(0.0292)	(0.0124)	(0.0146)
1976.year	-0.211**	-0.195**	-0.0897**	0.0483**	-0.0832**
	(0.0236)	(0.0347)	(0.0297)	(0.0126)	(0.0147)
1978.year	-0.184**	-0.166**	-0.103**	0.0564**	-0.0416**
	(0.0235)	(0.0347)	(0.0291)	(0.0131)	(0.0133)
1980.year	-0.186**	-0.179**	-0.104**	0.0529**	-0.0448**
	(0.0238)	(0.0352)	(0.0287)	(0.0136)	(0.0140)
1982.year	-0.173**	-0.160**	-0.103**	0.0534**	-0.0248
	(0.0236)	(0.0349)	(0.0289)	(0.0137)	(0.0135)
1984.year	-0.168**	-0.144**	-0.124**	0.0555**	-0.0207
	(0.0234)	(0.0347)	(0.0283)	(0.0134)	(0.0131)
1986.year	-0.194**	-0.161**	-0.144**	0.0383**	-0.0539**
	(0.0233)	(0.0346)	(0.0285)	(0.0127)	(0.0133)
1988.year	-0.197**	-0.165**	-0.141**	0.0357**	-0.0525**
	(0.0233)	(0.0346)	(0.0286)	(0.0127)	(0.0134)
F2.folded_ranney_4yrs				-0.136*	
				(0.0574)	
cF2.folded_ranney_4yrs#cF2.demPresShare				0.627**	
				(0.109)	
F2.hvd_4yr					-0.00415**
					(0.00105)
cF2.hvd_4yr#cF2.demPresShare					0.0162**
					(0.00230)
Constant	0.0901*	0.110*	0.138	0.132*	0.187
	(0.0427)	(0.0549)	(0.0749)	(0.0601)	(0.166)
					
Observations	18,533	10,345	8,073	8,955	3,167
R-squared	0.829	0.209	0.226	0.791	0.792
Standard errors in parentheses					
** p<0.01, * p<0.05					
